treatment,date,day,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5,dpep_1,dpep_2,dpep_3,dpep_4,dpep_5,abt_1,abt_2,abt_3,abt_4,abt_5,,,,,
0,11-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18-Jul,7,114.6891362,98.91226368,89.12551304,129.9029247,124.7164544,142.6114014,103.3951772,94.61696294,104.5168389,99.64983451,105.0232511,92.08376592,94.93162188,95.9635508,131.8050832,145.8511267,120.0766293,105.334632,79.19903263,85.20110891
2,20-Jul,9,107.5968887,136.4207155,92.82706129,158.2236741,153.3303548,76.08776828,85.16950646,56.17651595,61.49704058,67.36537383,54.40866856,78.32907072,75.5128691,65.03127417,89.62083117,70.78056906,77.86466132,51.7662381,35.67282756,52.19194671
3,22-Jul,11,98.39603566,218.2437022,164.6017489,194.2668603,105.9072076,73.32371849,78.70994978,131.7142606,104.785879,55.61097106,152.7182625,141.8987007,114.3268619,91.96987582,116.579862,50.28007888,100.3426878,96.53391895,78.5814834,138.160399
4,25-Jul,14,89.6458269,163.6892215,118.7234539,168.9457574,112.4731791,74.33108594,90.36527363,77.71263034,61.48553959,78.70907854,85.34796705,96.60453901,86.84349421,116.4053234,104.6075632,62.72874693,76.59855852,77.66330254,91.48671963,74.41429945
5,27-Jul,16,86.06042743,209.4100478,143.8184671,169.2012372,124.8672537,71.59353131,133.5519387,80.23827292,68.54387685,78.75129162,89.9704246,64.65526753,85.15239563,111.9249062,108.7555825,31.89749109,45.44949742,72.46816627,78.11523046,55.29627115
,,18,71.62634913,257.6966676,210.2397084,212.6716389,118.7541386,109.448362,220.1307409,91.84249917,78.19687354,61.34698969,123.2845118,69.05882941,62.63058295,68.69509394,75.63490357,66.25294072,67.3711967,37.34171347,69.18863954,56.54493265
,,20,244.1108657,321.301254,282.3217572,206.6552949,176.715591,106.2641834,316.9439309,82.46566821,78.99879637,60.01414511,120.5383294,105.8749032,109.8167896,79.8745593,100.6642265,76.6272113,76.59686519,71.2241423,61.31451873,71.42646519
,,22,267.914196,285.0909007,363.6405003,225.1586772,185.6497172,73.51522592,316.0515023,93.31887805,87.10497712,63.36280067,56.23765335,116.3695395,123.9020474,200.2475897,80.25391984,93.52076122,71.88868145,80.30126753,78.66940546,65.90876868
,,23,383.8660101,246.0308014,729.5546184,472.2649753,244.2871851,266.5827634,380.6704725,76.90453505,108.8511382,103.0049193,208.9055283,131.6287993,162.476953,38.23363405,191.5430407,81.07463316,127.0531842,67.95718718,98.05798418,50.28952329
